Policy_Number,Premium_Written,Premium_Earned,Premium_Unearned,State_of_Coverage_x,Line_of_Business,Effective_Date,Expiration_Date,Commission_Rate,New_or_Renewal,Agent_Name,State_Tax_Rate,Commission_Basis,Reinsurance_premium_rate,State_of_Coverage_y
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,Mo.
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,N.Y.
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,Wyo.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ala.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ga.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Hawaii (c)
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,La.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Mo.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,N.Y.
CA10000215003,0,261.46,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Wyo.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ala.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ga.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Hawaii (c)
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,La.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Mo.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,N.Y.
CA10000215003,0,185.27,0,NC,COMMERCIAL AUTOMOBILE,6/8/18,6/8/19,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Wyo.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ala.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ga.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Hawaii (c)
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,La.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Mo.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,N.Y.
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Wyo.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ala.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Ga.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Hawaii (c)
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,La.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Mo.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,N.Y.
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/19,6/8/20,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0,Wyo.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,Ala.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,Ga.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,Hawaii (c)
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,La.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,Mo.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,N.Y.
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/18,6/30/19,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6,Wyo.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,Ala.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,Ga.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,Hawaii (c)
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,La.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,Mo.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,N.Y.
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/19,6/30/20,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0,Wyo.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Ala.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Ga.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Hawaii (c)
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,La.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Mo.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,N.Y.
CA10000221603,0,275.52,0,IN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Wyo.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Ala.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Ga.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Hawaii (c)
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,La.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Mo.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,N.Y.
CA10000221604,666,222,444,IN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0,Wyo.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,Ala.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,Ga.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,Hawaii (c)
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,La.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,Mo.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,N.Y.
CA10000225003,0,290.59,0,AL,COMMERCIAL AUTOMOBILE,7/1/18,7/1/19,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6,Wyo.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,Ala.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,Ga.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,La.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,Mo.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,N.Y.
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/19,7/1/20,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0,Wyo.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ala.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ga.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Hawaii (c)
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,La.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Mo.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,N.Y.
CA10000230903,0,66.28,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Wyo.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ala.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ga.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Hawaii (c)
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,La.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Mo.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,N.Y.
CA10000230903,0,1903.23,0,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Wyo.
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ala.
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Ga.
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Hawaii (c)
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,La.
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,Mo.
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/18,6/18/19,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8,N.Y.
