Policy_Number,Premium_Written,Premium_Earned,Premium_Unearned,State_of_Coverage,Line_of_Business,Effective_Date,Expiration_Date,Commission_Rate,New_or_Renewal,Agent_Name,State_Tax_Rate,Commission_Basis,Reinsurance_premium_rate
CA10000215203,0,237.01,0.0,MO,COMMERCIAL AUTOMOBILE,6/28/2018,6/28/2019,0.0015,R,SOUTHGROUP INS & FIN SVS/LAUREL,0.02,WRITTEN,0.0
CA10000215204,486,126.15,359.85,MO,COMMERCIAL AUTOMOBILE,6/28/2019,6/28/2020,0.0015,R,SOUTHGROUP INS & FIN SVS/LAUREL,0.02,WRITTEN,0.8
CA10000216603,0,239.67,-239.67,TN,COMMERCIAL AUTOMOBILE,6/30/2018,6/30/2019,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.6
CA10000216604,486,123.49,362.51,TN,COMMERCIAL AUTOMOBILE,6/30/2019,6/30/2020,0.0015,R,HUB INTERNATIONAL MIDWEST LIMITED,0.04,WRITTEN,0.0
CA10000220303,418,12130.53,-11712.53,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000220303,60,1891.22,-1831.22,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000220303,9,304.64,-295.64,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000220304,5201,1744.3,3456.7,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000220304,780,261.15,518.85,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000220304,31010,10374.3,20635.7,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,STAHL BOWLES & ASSOCIATES INC/AG,0.036000000000000004,WRITTEN,0.0
CA10000221603,0,275.52,0.0,IN,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0.0
CA10000221604,666,222.0,444.0,IN,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ARTHUR J GALLAGHER RISK MGT SVS INC,0.04,WRITTEN,0.0
CA10000221903,0,241.0,0.0,FL,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,R,SOUTHGROUP INS & FIN SVS/HATTIESBG1,0.006,WRITTEN,0.0
CA10000221904,486,122.16,363.84,FL,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,R,SOUTHGROUP INS & FIN SVS/HATTIESBG1,0.006,WRITTEN,0.0
CA10000222104,666,216.54,449.46,MS,COMMERCIAL AUTOMOBILE,6/4/2019,6/4/2020,0.0015,N,TANENBAUM-HARBER OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.8
CA10000225003,0,290.59,0.0,AL,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.6
CA10000225004,577,145.04,431.96,AL,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,R,BOYLES MOAK & STONE INC,0.04,WRITTEN,0.0
CA10000225103,0,583.66,0.0,KY,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,N,SOUTHERN INSURANCE GROUP LLC,0.013999999999999999,WRITTEN,0.0
CA10000225103,0,833.59,0.0,KY,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,N,SOUTHERN INSURANCE GROUP LLC,0.013999999999999999,WRITTEN,0.0
CA10000225303,0,3204.92,0.0,IL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000225303,0,820.36,0.0,IL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000225304,1741,601.83,1139.17,IL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000225304,6724,2321.06,4402.94,IL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000227903,0,55.78,0.0,KY,COMMERCIAL AUTOMOBILE,6/24/2018,6/24/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000227903,0,4099.25,-4099.25,KY,COMMERCIAL AUTOMOBILE,6/24/2018,6/24/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000227903,0,1176.49,0.0,KY,COMMERCIAL AUTOMOBILE,6/24/2018,6/24/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000227904,141,38.14,102.86,KY,COMMERCIAL AUTOMOBILE,6/24/2019,6/24/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000227904,8348,2258.07,6089.93,KY,COMMERCIAL AUTOMOBILE,6/24/2019,6/24/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000227904,2615,707.34,1907.66,KY,COMMERCIAL AUTOMOBILE,6/24/2019,6/24/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.013999999999999999,WRITTEN,0.0
CA10000230903,0,66.28,0.0,NC,COMMERCIAL AUTOMOBILE,6/18/2018,6/18/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8
CA10000230903,0,1903.23,0.0,NC,COMMERCIAL AUTOMOBILE,6/18/2018,6/18/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8
CA10000230903,0,4887.65,-4887.65,NC,COMMERCIAL AUTOMOBILE,6/18/2018,6/18/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.8
CA10000230904,174,49.92,124.08,NC,COMMERCIAL AUTOMOBILE,6/18/2019,6/18/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.6
CA10000230904,4391,1259.71,3131.29,NC,COMMERCIAL AUTOMOBILE,6/18/2019,6/18/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.6
CA10000230904,12024,3449.51,8574.49,NC,COMMERCIAL AUTOMOBILE,6/18/2019,6/18/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC/AG,0.04,WRITTEN,0.6
CA10000231003,-20,956.17,0.0,MO,COMMERCIAL AUTOMOBILE,6/27/2018,6/27/2019,0.001,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000231003,-190,6520.97,0.0,MO,COMMERCIAL AUTOMOBILE,6/27/2018,6/27/2019,0.001,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000231003,-3,96.41,0.0,MO,COMMERCIAL AUTOMOBILE,6/27/2018,6/27/2019,0.001,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000231004,247,60.95,186.05,MO,COMMERCIAL AUTOMOBILE,6/27/2019,6/27/2020,0.0015,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000231004,2128,516.15,1611.85,MO,COMMERCIAL AUTOMOBILE,6/27/2019,6/27/2020,0.0015,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000231004,13886,3394.31,10491.69,MO,COMMERCIAL AUTOMOBILE,6/27/2019,6/27/2020,0.0015,R,BROWN INSURANCE INC,0.02,WRITTEN,0.0
CA10000232403,220,8276.93,-8056.93,GA,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,R,SOUTHGROUP INS & FIN SVS/CLEVELAND,0.036000000000000004,WRITTEN,0.0
CA10000232404,17528,4369.94,13158.06,GA,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,R,SOUTHGROUP INS & FIN SVS/CLEVELAND,0.036000000000000004,WRITTEN,0.0
CA10000232904,631,302.97,328.03,IL,COMMERCIAL AUTOMOBILE,6/29/2019,6/29/2020,0.0015,N,DYNAMIC INSURANCE AGENCY LLC,0.026000000000000002,WRITTEN,0.0
CA10000232904,3427,1164.56,2262.44,IL,COMMERCIAL AUTOMOBILE,6/29/2019,6/29/2020,0.0015,N,DYNAMIC INSURANCE AGENCY LLC,0.026000000000000002,WRITTEN,0.0
CA10000232904,63,27.66,35.34,IL,COMMERCIAL AUTOMOBILE,6/29/2019,6/29/2020,0.0015,N,DYNAMIC INSURANCE AGENCY LLC,0.026000000000000002,WRITTEN,0.0
CA10000233603,0,531.59,0.0,NC,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.0
CA10000233603,0,38.68,0.0,NC,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.0
CA10000233603,0,1524.37,0.0,NC,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.0
CA10000233604,1087,273.23,813.77,NC,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.8
CA10000233604,3406,856.15,2549.85,NC,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.8
CA10000233604,94,23.63,70.37,NC,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0019,R,CHAPP INC/CITRUS/AG,0.04,WRITTEN,0.8
CA10000243503,88,2061.49,-1973.49,AL,COMMERCIAL AUTOMOBILE,6/3/2018,6/3/2019,0.0015,R,GCM INSURANCE AGENCY LLC/WEST POINT,0.04,WRITTEN,0.6
CA10000243503,21,742.41,-721.41,AL,COMMERCIAL AUTOMOBILE,6/3/2018,6/3/2019,0.0015,R,GCM INSURANCE AGENCY LLC/WEST POINT,0.04,WRITTEN,0.6
CA10000243504,2176,703.92,1472.08,AL,COMMERCIAL AUTOMOBILE,6/3/2019,6/3/2020,0.0015,R,GCM INSURANCE AGENCY LLC/WEST POINT,0.04,WRITTEN,0.0
CA10000243504,5120,1701.85,3418.15,AL,COMMERCIAL AUTOMOBILE,6/3/2019,6/3/2020,0.0015,R,GCM INSURANCE AGENCY LLC/WEST POINT,0.04,WRITTEN,0.0
CA10000246303,106,851.9,-745.9,MO,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ROSS & YERGER INSURANCE INC,0.02,WRITTEN,0.0
CA10000246303,189,1556.69,-1367.69,MO,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ROSS & YERGER INSURANCE INC,0.02,WRITTEN,0.0
CA10000246304,5151,1717.0,3434.0,MO,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ROSS & YERGER INSURANCE INC,0.02,WRITTEN,0.0
CA10000246304,3136,1045.33,2090.67,MO,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ROSS & YERGER INSURANCE INC,0.02,WRITTEN,0.0
CA10000250603,13,265.11,-252.11,SC,COMMERCIAL AUTOMOBILE,6/2/2018,6/2/2019,0.0015,N,FOUNDATION RISK PARTNERS CORP,0.025,WRITTEN,0.0
CA10000250603,288,3514.9,-3226.9,SC,COMMERCIAL AUTOMOBILE,6/2/2018,6/2/2019,0.0015,N,FOUNDATION RISK PARTNERS CORP,0.025,WRITTEN,0.0
CA10000250603,950,12715.46,-11765.46,SC,COMMERCIAL AUTOMOBILE,6/2/2018,6/2/2019,0.0015,N,FOUNDATION RISK PARTNERS CORP,0.025,WRITTEN,0.0
CA10000251704,1549,503.64,1045.36,IN,COMMERCIAL AUTOMOBILE,6/4/2019,6/4/2020,0.0015,N,INSURAMERICA OF FLORIDA INC,0.04,WRITTEN,0.0
CA10000251704,12608,4099.32,8508.68,IN,COMMERCIAL AUTOMOBILE,6/4/2019,6/4/2020,0.0015,N,INSURAMERICA OF FLORIDA INC,0.04,WRITTEN,0.0
CA10000251704,123,39.99,83.01,IN,COMMERCIAL AUTOMOBILE,6/4/2019,6/4/2020,0.0015,N,INSURAMERICA OF FLORIDA INC,0.04,WRITTEN,0.0
CA10000252803,168,17467.34,-17299.34,GA,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,N,BROWN & BROWN OF FL INC/WPB,0.036000000000000004,WRITTEN,0.0
CA10000252803,-12,370.02,0.0,GA,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,N,BROWN & BROWN OF FL INC/WPB,0.036000000000000004,WRITTEN,0.0
CA10000252803,38,2919.18,-2881.18,GA,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,N,BROWN & BROWN OF FL INC/WPB,0.036000000000000004,WRITTEN,0.0
CA10000252903,0,334.41,0.0,IL,COMMERCIAL AUTOMOBILE,6/26/2018,6/26/2019,0.0015,R,WRC INC/CLARK INS AGY/BATESVILLE/AG,0.026000000000000002,WRITTEN,0.0
CA10000252903,0,3515.77,0.0,IL,COMMERCIAL AUTOMOBILE,6/26/2018,6/26/2019,0.0015,R,WRC INC/CLARK INS AGY/BATESVILLE/AG,0.026000000000000002,WRITTEN,0.0
CA10000252904,1552,402.39,1149.61,IL,COMMERCIAL AUTOMOBILE,6/26/2019,6/26/2020,0.0015,R,WRC INC/CLARK INS AGY/BATESVILLE/AG,0.026000000000000002,WRITTEN,0.8
CA10000252904,10253,2693.61,7559.39,IL,COMMERCIAL AUTOMOBILE,6/26/2019,6/26/2020,0.0015,R,WRC INC/CLARK INS AGY/BATESVILLE/AG,0.026000000000000002,WRITTEN,0.8
CA10000254303,647,3989.08,-3342.08,NC,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,R,INDIANOLA INSURANCE AGENCY INC,0.04,WRITTEN,0.6
CA10000254303,841,2359.3,-1518.3,NC,COMMERCIAL AUTOMOBILE,7/1/2018,7/1/2019,0.0015,R,INDIANOLA INSURANCE AGENCY INC,0.04,WRITTEN,0.6
CA10000254304,6951,1747.25,5203.75,NC,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,R,INDIANOLA INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000254304,3634,913.46,2720.54,NC,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,R,INDIANOLA INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000256302,0,1688.3,0.0,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,N,ROSS & YERGER INSURANCE INC,0.036000000000000004,WRITTEN,0.0
CA10000256302,0,664.4,-664.4,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,N,ROSS & YERGER INSURANCE INC,0.036000000000000004,WRITTEN,0.0
CA10000257303,0,1619.22,-1619.22,FL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000257303,0,4549.86,0.0,FL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000257304,12971,4090.0,8881.0,FL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000257304,4541,1426.35,3114.65,FL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000259404,1467,358.31,1108.69,GA,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,N,BALDWIN KRYSTYN SHERMAN PARTNRS LLC,0.036000000000000004,WRITTEN,0.0
CA10000259404,11137,2735.86,8401.14,GA,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,N,BALDWIN KRYSTYN SHERMAN PARTNRS LLC,0.036000000000000004,WRITTEN,0.0
CA10000259404,48782,11892.27,36889.73,GA,COMMERCIAL AUTOMOBILE,7/1/2019,7/1/2020,0.0015,N,BALDWIN KRYSTYN SHERMAN PARTNRS LLC,0.036000000000000004,WRITTEN,0.0
CA10000263103,282,4951.32,-4669.32,SC,COMMERCIAL AUTOMOBILE,6/15/2018,6/15/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263103,8,326.62,-318.62,SC,COMMERCIAL AUTOMOBILE,6/15/2018,6/15/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263103,614,18526.8,-17912.8,SC,COMMERCIAL AUTOMOBILE,6/15/2018,6/15/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263104,218,218.0,0.0,SC,COMMERCIAL AUTOMOBILE,6/15/2019,8/13/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263104,12271,12271.0,0.0,SC,COMMERCIAL AUTOMOBILE,6/15/2019,8/13/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263104,3456,3456.0,0.0,SC,COMMERCIAL AUTOMOBILE,6/15/2019,8/13/2019,0.0015,R,ALBRITTON INSURANCE SERVICES LLC/AG,0.025,WRITTEN,0.0
CA10000263203,8,209.72,-201.72,MS,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.8
CA10000263203,35,1701.47,-1666.47,MS,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.8
CA10000263203,372,11072.38,-10700.38,MS,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.8
CA10000263204,675,220.0,455.0,MS,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.6
CA10000263204,5022,1625.31,3396.69,MS,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.6
CA10000263204,34090,11127.72,22962.28,MS,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ASSUREDPARTNERS OF FLORIDA LLC,0.028999999999999998,WRITTEN,0.6
CA10000263803,31,4042.07,-4011.07,FL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000263803,41,2261.65,-2220.65,FL,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000263804,9453,3258.61,6194.39,FL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000263804,5435,1872.29,3562.71,FL,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FISHER BROWN BOTTRELL INSURANCE INC,0.006,WRITTEN,0.0
CA10000264903,1846,21731.36,-19885.36,PA,COMMERCIAL AUTOMOBILE,7/23/2018,7/23/2019,0.0015,N,R V JOHNSON AGENCY INC,0.039,WRITTEN,0.0
CA10000264903,155,3080.78,-2925.78,PA,COMMERCIAL AUTOMOBILE,7/23/2018,7/23/2019,0.0015,N,R V JOHNSON AGENCY INC,0.039,WRITTEN,0.0
CA10000264903,0,143.74,0.0,PA,COMMERCIAL AUTOMOBILE,7/23/2018,7/23/2019,0.0015,N,R V JOHNSON AGENCY INC,0.039,WRITTEN,0.0
